T,P,S,O,D,A
4,2,4,2,0,2
223,2,4,2,0,5
21,1,3,2,0,5
178,2,4,2,0,2
3,2,4,8,0,1
11,2,4,8,0,1
46,2,4,8,0,1
46,2,4,8,0,1
46,2,4,8,0,1
46,2,4,8,0,1
46,2,4,8,0,1
46,2,4,8,0,1
46,2,4,8,0,5
5,2,4,8,0,1
46,2,4,8,0,1
46,2,4,8,0,1
46,2,4,8,0,1
46,2,4,8,0,1
46,2,4,8,0,1
46,2,4,8,0,1
46,2,4,8,0,1
3,2,4,8,0,1
46,2,4,8,0,1
3,2,4,8,0,3
46,2,4,8,0,1
46,2,4,8,0,1
58,3,5,8,0,1
3,1,2,8,0,2
58,4,5,8,0,1
48,2,4,8,0,1
137,1,4,2,0,2
77,2,4,8,0,1
4,1,2,8,0,3
13,1,3,4,0,1
61,2,3,2,0,1
5,2,4,2,0,2
5,2,4,2,0,2
3,2,4,2,0,2
27,2,4,8,0,1
18,2,4,8,0,1
81,2,4,2,0,3
103,2,4,2,0,5
3,1,2,2,0,3
5,2,4,8,0,5
5,2,4,8,0,7
108,2,4,8,0,1
2,1,2,2,0,2
55,3,2,8,0,3
286,2,4,2,0,6
3,1,2,2,0,2
94,1,4,4,0,2
58,1,3,8,0,3
3,1,2,4,0,4
178,3,5,4,0,2
2,1,4,2,0,5
2,2,4,2,0,1
2,1,3,8,0,6
74,2,3,2,0,2
137,2,4,2,0,2
113,2,4,2,0,2
2,2,3,2,0,1
46,2,3,8,0,1
43,2,4,4,0,1
137,2,4,8,0,2
2,1,2,2,0,2
10,2,4,4,0,1
2,1,3,2,0,1
74,2,4,8,0,2
131,2,4,2,0,1
2,2,3,8,0,1
2,1,2,2,0,1
3,2,4,8,0,1
186,2,4,8,0,2
2,1,3,2,0,2
22,2,4,8,0,1
85,2,3,8,0,2
580,2,4,8,0,1
125,5,3,8,0,2
14,2,4,8,0,1
223,2,4,8,0,2
1,2,4,8,0,1
98,2,4,8,0,2
108,2,4,8,0,1
223,2,4,2,0,1
1,1,3,2,0,1
22,2,4,8,0,1
125,2,4,8,0,1
22,2,4,8,0,1
48,2,4,2,0,2
1264,1,3,4,0,1
43,2,4,8,0,1
48,2,3,4,0,1
1,1,2,2,0,1
53,3,5,8,0,3
493,1,4,6,0,7
103,2,4,8,0,3
48,2,4,8,0,1
48,2,4,8,0,1
42,1,3,2,0,2
197,2,4,2,0,2
119,2,4,8,0,1
2,1,3,2,0,1
2,2,4,2,0,1
3,3,5,8,0,1
1,2,4,2,0,1
1,1,2,8,0,2
53,1,2,8,0,12
131,2,4,8,0,2
1,2,3,2,0,1
251,2,4,8,0,1
42,2,4,2,0,3
178,2,4,2,0,1
113,2,4,8,0,1
137,2,4,13,0,2
18,2,4,2,0,1
53,2,3,2,0,1
2,2,4,2,0,1
178,2,4,15,0,1
580,1,3,1,0,1
142,1,2,2,0,1
312,2,4,8,0,1
862,2,4,6,0,6
142,5,4,2,0,1
27,2,4,4,0,2
223,1,3,3,0,1
2,1,2,8,0,1
131,4,5,13,0,2
1,1,2,2,0,1
986,1,1,6,0,11
48,2,4,8,0,1
42,2,4,2,0,2
43,1,3,2,0,1
131,2,4,2,0,3
43,2,4,8,0,1
48,2,3,2,0,1
42,2,4,2,0,2
131,2,4,2,0,2
64,2,3,2,0,1
14,2,4,4,0,1
137,1,3,8,0,2
53,3,5,8,0,1
77,2,4,6,0,1
197,2,4,2,0,2
94,2,4,8,0,1
43,2,4,8,0,1
14,2,4,8,0,1
94,2,4,8,0,1
64,2,4,2,0,2
125,2,4,4,0,1
108,2,3,2,0,3
18,2,3,8,0,1
137,3,4,8,0,3
42,2,3,2,0,4
33,2,4,8,0,1
125,2,3,2,0,4
64,2,4,8,0,2
113,2,4,8,0,1
18,4,5,8,0,1
119,2,4,2,0,1
42,3,4,8,0,2
108,3,3,15,0,2
70,1,3,2,0,3
1,1,4,2,0,2
5,2,2,8,0,4
5,2,4,8,0,4
20,2,4,8,0,2
2,2,4,8,0,5
61,2,3,8,0,5
493,3,4,6,1,1
42,2,4,8,0,1
8,2,3,2,0,3
61,2,2,1,0,2
61,1,3,2,0,1
46,2,2,2,0,4
9,2,3,2,0,1
178,1,4,2,0,2
338,2,2,6,1,11
42,2,4,2,0,2
113,2,4,2,0,1
16,2,3,2,0,3
20,2,4,2,0,1
108,1,2,2,0,2
61,2,4,2,0,2
43,2,4,8,0,1
20,2,4,8,0,1
197,3,4,8,0,2
98,2,4,8,0,1
42,2,4,8,0,2
36,2,4,2,0,1
131,1,3,8,0,2
7,3,4,3,0,1
7,2,4,8,0,3
16,1,3,3,0,1
15,2,4,8,0,1
251,1,4,8,0,2
42,2,7,2,0,3
137,2,4,8,0,3
20,2,4,2,0,1
46,2,3,2,0,1
5,2,4,8,0,1
113,2,4,2,0,1
42,2,4,8,0,1
55,2,4,2,0,1
5,2,4,8,0,2
67,1,3,2,0,5
267,2,4,2,0,2
108,2,3,8,0,1
286,5,4,2,0,1
131,2,4,2,0,1
125,2,4,2,0,2
131,2,4,2,0,1
43,2,4,2,0,1
149,2,4,2,0,2
67,1,4,2,0,7
67,2,4,2,0,3
715,2,4,8,0,2
94,2,4,4,0,1
715,2,4,4,0,3
12,2,4,2,0,4
131,2,4,2,0,4
4,1,2,8,0,2
53,2,4,1,0,4
42,2,4,2,0,2
36,2,4,2,0,2
8,1,2,8,0,3
286,1,3,2,0,1
46,1,3,2,0,4
4,2,4,8,0,2
36,1,3,2,0,1
5,2,4,2,0,1
10,2,4,8,0,2
21,2,4,2,0,1
12,3,4,2,0,1
55,2,3,2,0,1
103,1,2,8,0,2
4,2,2,16,0,2
4,2,4,16,0,1
149,2,4,2,0,1
1,2,4,8,0,2
7,2,4,4,0,1
38,2,2,3,0,1
208,3,5,2,0,3
36,2,4,2,0,1
10,2,4,2,0,1
430,2,4,2,0,3
715,1,4,2,4,4
2,1,4,1,0,1
29,2,4,2,0,1
29,2,4,2,0,2
94,2,3,8,0,1
46,2,7,8,0,1
119,2,3,2,0,1
46,2,4,2,0,1
103,2,3,2,0,2
103,1,2,2,0,1
125,2,4,2,0,1
6,2,4,2,0,1
149,2,4,2,0,2
77,2,2,3,0,4
98,2,4,3,0,2
2,2,4,3,0,1
208,2,4,3,0,1
208,2,4,3,0,5
38,2,4,3,0,2
2,2,4,2,0,1
5,2,2,2,0,1
103,2,2,2,0,1
98,1,2,2,0,2
98,2,2,2,0,1
38,2,3,2,0,1
12,1,2,2,0,2
430,5,6,6,0,2
61,1,2,8,0,1
119,3,4,2,0,1
48,2,4,2,0,1
5,2,3,8,0,1
208,2,4,8,0,1
18,2,4,2,0,2
67,2,4,2,0,1
27,2,4,8,0,1
1264,2,4,8,0,6
125,2,3,13,0,1
36,2,3,2,0,1
4,2,3,4,0,1
42,1,2,6,0,4
6,2,4,2,0,1
286,3,4,2,0,1
98,2,4,13,0,1
715,2,4,13,0,1
98,2,3,2,0,1
7,2,4,4,0,2
239,2,4,8,0,1
5,1,4,2,0,2
1264,3,4,6,0,40
1264,4,7,6,0,2
239,2,4,2,0,2
6,2,4,2,0,2
1264,2,7,6,0,4
223,5,3,8,0,2
89,2,3,8,0,1
103,2,4,2,0,2
2,2,2,2,0,1
1,2,4,4,0,1
119,2,4,13,0,2
29,2,2,2,0,2
67,2,4,6,0,2
186,2,3,6,0,3
40,2,4,2,0,1
119,2,4,2,0,3
108,2,4,2,0,1
98,2,2,8,0,1
430,2,3,2,0,8
94,2,5,2,0,2
89,2,4,8,0,2
15,2,4,2,0,2
2,3,4,2,0,1
2,2,4,4,0,1
3,2,4,6,0,1
108,2,4,4,0,2
430,3,5,2,0,4
1264,2,4,8,0,1
58,2,4,4,0,1
29,2,4,6,0,1
50,2,4,8,0,1
1958,2,4,6,0,2
119,3,4,8,0,1
1,2,4,2,0,1
6,2,4,4,0,1
208,2,5,13,0,3
29,2,4,2,0,1
27,2,2,8,0,3
197,2,4,2,0,5
35,2,4,2,0,4
58,2,4,2,0,2
493,2,4,13,0,3
36,2,4,8,0,1
267,1,4,2,0,4
48,2,4,2,0,1
113,3,4,2,0,2
108,2,4,13,0,1
5,2,4,13,0,1
142,2,4,13,0,1
2,1,4,5,0,1
186,2,4,2,0,2
94,2,5,2,0,1
137,3,4,1,0,1
430,2,4,1,0,1
70,2,4,1,0,1
372,3,5,2,0,3
26,2,4,2,0,2
119,2,4,2,0,1
50,2,4,4,0,1
715,3,7,6,0,2
142,2,4,2,0,1
94,4,6,4,0,2
36,2,4,2,0,1
5,1,2,2,0,2
36,2,4,2,0,4
85,4,6,4,0,2
103,2,3,8,0,2
18,2,4,8,0,1
94,2,3,2,0,1
715,5,4,6,2,12
186,2,4,8,0,1
103,2,4,4,0,1
186,2,5,13,0,2
430,3,5,3,0,1
119,2,4,2,0,2
715,2,3,2,0,1
10,2,4,13,0,1
94,2,4,3,0,1
119,2,4,13,0,4
12,2,4,13,0,2
108,2,5,2,0,1
125,2,4,2,0,3
239,2,4,8,0,2
286,2,5,13,0,1
715,2,5,8,0,3
113,2,4,8,0,2
113,2,4,2,0,1
197,2,4,2,0,3
53,2,4,8,0,1
430,2,4,6,0,2
9,2,4,1,0,1
113,2,4,13,0,2
81,2,4,13,0,4
4,2,5,13,0,1
125,2,4,13,0,1
26,5,4,13,0,1
125,5,4,2,0,1
26,2,4,15,0,1
35,2,2,8,0,2
103,2,4,2,0,1
1264,2,4,8,0,1
6,2,4,4,0,1
25,2,4,4,0,1
1264,2,4,8,0,1
74,2,6,8,0,1
1264,2,5,8,0,2
94,2,5,8,0,2
7,2,4,2,0,1
131,2,4,2,0,2
3,5,7,2,0,1
149,2,4,2,0,2
85,2,4,2,0,2
6,2,4,2,0,1
267,3,4,2,0,2
94,2,2,3,0,1
30,2,4,13,0,1
2,2,4,13,0,1
862,3,4,6,4,8
42,2,4,3,0,2
103,5,3,2,0,1
25,2,3,3,0,1
125,2,4,2,0,1
6,2,4,8,0,1
430,2,7,6,0,1
7,3,5,13,0,1
119,4,4,13,0,2
8,2,2,5,0,1
165,2,4,13,0,2
43,2,4,2,0,2
103,2,4,2,0,2
89,2,3,2,0,3
98,2,4,8,0,1
1,2,4,13,0,1
70,2,4,13,0,1
25,2,4,2,0,1
29,2,3,2,0,1
251,2,4,2,0,1
312,2,4,6,0,3
2,2,4,4,0,2
74,2,4,13,0,2
6,2,4,2,0,1
862,2,4,2,0,3
11,2,4,2,0,2
113,2,4,3,0,4
85,2,4,3,0,5
23,2,4,3,0,1
493,3,5,3,0,2
30,1,4,3,0,4
197,1,2,3,0,3
20,1,3,3,0,4
1,1,2,3,0,1
21,1,3,3,0,4
20,2,3,6,0,1
33,2,3,6,0,2
20,2,3,2,0,2
43,1,3,13,0,1
42,2,3,2,0,1
43,2,3,4,0,2
38,2,3,4,0,1
26,2,3,4,0,1
38,2,3,4,0,1
22,1,2,3,0,2
6,2,4,2,0,1
40,2,4,2,0,3
131,2,4,13,0,3
22,1,3,3,0,2
64,1,4,3,0,5
197,3,4,2,0,3
19,1,4,6,0,1
29,2,5,8,0,1
493,2,4,6,0,2
125,3,4,2,0,1
1,2,4,2,0,2
42,2,4,2,0,3
715,3,4,3,0,6
94,1,4,3,0,4
89,1,2,3,0,1
26,1,4,2,0,2
1,2,4,5,0,1
19,2,4,2,0,1
2,2,4,8,0,1
89,2,4,8,0,2
27,2,4,8,0,1
67,2,4,8,0,1
862,4,7,6,8,26
493,2,4,8,0,7
18,4,6,8,0,1
27,2,4,4,0,1
26,2,4,4,0,2
15,2,4,13,0,1
26,2,4,4,0,1
157,3,5,8,0,1
2,2,4,8,0,1
26,2,4,8,0,1
430,1,4,8,0,4
94,2,4,4,0,1
372,2,7,4,0,2
74,2,4,8,0,1
223,2,4,4,0,2
22,2,4,4,0,1
103,2,4,4,0,1
67,2,4,4,0,1
131,2,4,4,0,1
23,2,4,2,0,2
81,2,4,4,0,2
19,2,4,4,0,1
89,2,4,8,0,3
38,1,2,8,0,1
186,3,5,8,0,2
186,2,4,4,0,2
94,2,4,4,0,1
15,2,4,2,0,1
197,1,3,3,0,6
267,1,2,2,0,4
29,1,6,13,0,1
19,2,5,4,0,1
1264,2,4,8,0,2
338,2,4,8,0,2
16,2,4,3,0,4
43,2,4,4,0,1
29,2,4,2,0,2
267,2,4,4,0,1
125,2,3,6,0,2
208,2,4,4,0,2
16,2,4,8,0,1
14,2,4,10,0,1
986,2,4,6,0,1
103,2,4,4,0,1
14,1,4,6,0,1
81,2,4,6,0,1
16,2,4,8,0,2
23,2,4,8,0,1
251,2,4,2,0,1
27,2,4,8,0,1
149,3,4,8,0,3
74,2,4,4,0,1
6,2,3,2,0,1
15,2,3,2,0,1
986,5,7,6,1,19
131,2,4,4,0,2
21,2,4,4,0,1
70,2,4,13,0,1
6,2,3,13,0,1
13,5,7,13,0,1
186,2,4,8,0,2
12,2,4,2,0,1
2,2,4,8,0,1
98,2,4,8,0,1
26,2,4,2,0,1
1264,3,4,6,3,10
98,2,4,8,0,1
46,2,2,2,0,2
137,2,4,4,0,2
16,2,4,13,0,1
89,2,4,13,0,1
61,2,4,13,0,1
2,1,3,2,0,1
8,2,6,8,0,1
239,2,4,6,0,3
208,2,4,8,0,4
11,2,4,2,0,2
142,2,4,1,0,5
862,2,4,6,0,14
27,2,4,3,0,4
186,2,4,3,0,3
77,2,3,3,0,2
14,2,4,3,0,3
14,2,4,3,0,2
186,2,4,3,0,1
27,2,4,3,0,4
8,2,4,3,0,5
186,2,4,3,0,2
98,2,3,2,0,2
61,2,4,3,0,3
1264,2,4,3,0,4
251,2,4,3,0,2
7,2,4,3,0,1
89,2,4,3,0,1
15,2,4,2,0,1
85,2,4,6,0,1
35,2,4,8,0,2
6,1,4,1,0,1
58,2,4,2,0,2
165,4,5,8,0,1
580,1,3,2,0,1
26,1,2,2,0,2
2,2,4,8,0,1
208,1,3,6,0,3
208,4,5,8,0,1
14,1,3,8,0,2
7,3,5,8,0,1
35,2,4,13,0,1
94,1,2,2,0,4
131,2,4,6,0,1
430,2,3,8,0,2
15,1,4,15,0,1
149,2,4,8,0,1
21,2,4,8,0,1
14,3,3,8,0,3
208,2,4,8,0,2
81,2,4,8,0,1
11,1,4,8,0,1
1958,1,4,1,0,3
74,2,2,1,0,3
1264,4,4,6,1,6
3,2,4,1,0,3
580,1,2,15,0,3
267,1,2,6,0,4
85,2,4,6,0,1
580,3,4,6,0,3
372,2,4,6,0,1
131,2,4,3,0,1
40,2,4,3,0,1
23,2,4,15,0,1
46,2,4,15,0,1
18,2,4,3,0,2
40,2,4,3,0,1
40,2,4,3,0,1
61,2,4,3,0,3
23,2,4,6,0,1
131,2,4,8,0,2
2,1,4,15,0,1
493,1,3,15,0,5
338,3,4,15,0,3
7,1,4,15,0,1
9,1,4,15,0,2
8,1,4,15,0,2
2,2,4,4,0,1
113,1,4,15,0,2
11,1,3,15,0,1
7,1,2,15,0,1
29,2,4,2,0,1
4,1,2,15,0,1
25,1,2,15,0,1
29,2,4,2,0,1
197,2,4,6,0,3
14,1,3,15,0,1
21,2,4,3,0,3
30,2,4,3,0,2
23,2,4,6,0,3
94,2,4,3,0,1
23,2,4,6,0,1
46,2,4,3,0,2
50,2,4,15,0,2
493,1,5,6,0,4
6,2,4,8,0,2
137,2,4,6,0,3
119,2,4,8,0,1
178,2,4,3,0,1
113,1,3,2,0,3
70,1,3,8,0,3
15,2,3,8,0,2
64,1,3,8,0,4
372,2,4,4,0,4
5,2,4,3,0,1
178,2,4,3,0,3
3,1,2,15,0,1
10,1,2,4,0,3
3,1,2,15,0,1
10,1,2,6,0,1
6,1,3,15,0,1
165,2,4,2,0,1
30,1,3,15,0,5
6,1,3,15,0,1
14,1,3,15,0,1
48,4,3,15,0,1
108,3,5,8,0,1
15,1,3,15,0,1
8,1,3,15,0,1
94,1,4,15,0,6
48,1,4,6,0,2
85,2,4,8,0,1
61,1,2,6,0,2
10,1,4,6,0,3
6,2,4,6,0,1
10,1,4,6,0,4
74,2,4,6,0,5
64,2,2,1,0,2
8,5,6,3,0,1
98,2,4,13,0,2
13,1,4,3,0,3
61,2,4,8,0,2
89,2,4,8,0,2
85,2,4,13,0,1
64,1,3,2,0,1
14,1,4,3,0,4
7,1,3,4,0,4
862,2,4,2,0,4
61,2,4,8,0,2
251,3,4,4,0,5
1264,1,2,5,0,2
312,2,2,3,0,3
1264,2,4,3,0,4
113,2,3,5,0,5
77,2,4,2,0,2
29,1,3,2,0,2
125,2,4,3,0,3
67,1,4,3,0,4
15,2,4,3,0,1
14,1,4,6,0,3
64,1,2,6,0,2
119,1,3,15,0,3
13,2,4,17,0,3
64,2,4,4,0,3
157,2,4,6,0,1
286,2,3,6,0,3
27,2,4,2,0,1
372,2,4,15,0,8
6,2,4,15,0,1
18,1,3,3,0,3
3,2,4,3,0,4
13,2,4,15,0,1
137,1,3,6,0,5
338,1,4,6,0,7
43,3,4,15,0,1
26,2,4,15,0,1
2,3,4,6,0,2
4,2,4,15,0,3
7,2,4,6,0,4
61,2,4,8,0,1
26,2,4,8,0,2
4,2,5,13,0,1
6,2,5,15,0,2
2,1,4,2,0,2
6,2,4,15,0,1
4,2,3,8,0,1
103,1,4,8,0,2
18,2,3,3,0,2
8,2,4,2,0,1
2,2,2,6,0,1
1,2,4,2,0,1
6,1,4,2,0,1
81,2,4,2,0,2
3,2,4,2,0,4
2,1,2,2,0,1
5,2,3,2,0,1
10,2,3,3,0,3
67,2,4,3,0,4
5,2,3,2,0,1
208,2,4,2,0,3
4,2,3,2,0,1
1,1,2,2,0,1
4,2,4,2,0,1
4,2,4,8,0,1
94,1,4,15,0,3
580,2,4,4,1,3
85,2,4,8,0,2
4,1,2,8,0,1
30,1,3,2,0,1
77,2,2,15,0,2
3,1,4,3,0,6
14,2,4,6,0,5
18,1,4,6,0,5
4,2,4,6,0,1
4,2,3,2,0,2
312,2,4,6,0,3
3,2,4,15,0,2
7,2,4,6,0,1
2,2,4,13,0,1
2,2,4,13,0,1
22,1,2,6,0,3
15,1,2,6,0,1
15,1,2,6,0,3
89,2,4,3,0,1
2,2,4,6,0,2
178,2,4,3,0,1
3,4,4,8,0,2
1,2,4,8,0,1
53,1,4,8,0,1
1,2,4,8,0,1
3,2,4,4,0,1
113,2,4,8,0,1
58,2,4,8,0,1
85,2,4,8,0,1
113,2,4,8,0,1
178,2,4,2,0,1
8,2,4,8,0,1
89,2,4,2,0,2
149,1,4,2,0,1
125,1,2,8,0,1
5,2,4,2,0,1
16,2,4,2,0,2
58,1,2,2,0,5
2,2,4,6,0,1
3,3,4,13,0,1
430,3,4,8,0,3
251,3,3,13,0,1
8,1,4,3,0,6
50,3,4,15,0,2
15,2,5,3,0,1
1,2,4,15,0,2
7,2,4,6,0,1
103,1,2,13,0,7
15,3,4,15,0,1
11,1,2,6,0,6
61,1,2,13,0,6
2,2,4,8,0,1
2,1,3,6,0,1
40,1,3,15,0,3
197,2,4,8,0,1
1264,4,7,6,0,8
53,2,4,4,0,3
197,2,4,4,0,3
372,3,4,6,0,4
3,2,4,2,0,2
9,2,4,3,0,2
7,1,2,3,0,3
85,2,4,2,0,1
61,1,3,13,0,4
9,2,4,3,0,4
1958,1,2,4,0,1
8,2,3,6,0,1
2,1,3,13,0,3
1,2,4,1,0,1
25,1,4,2,0,1
7,2,3,15,0,1
2,2,4,6,0,3
33,2,2,3,0,2
89,2,4,13,0,2
4,2,3,2,0,3
81,1,3,13,0,3
493,2,3,2,0,4
2,2,4,2,0,4
11,2,4,8,0,2
12,2,2,15,0,3
186,2,4,6,0,4
8,1,3,13,0,4
61,1,3,3,0,1
9,1,2,3,0,4
4,1,3,13,0,4
11,1,3,13,0,4
70,2,3,8,0,2
580,3,4,13,0,1
6,1,3,13,0,2
55,1,4,13,0,3
12,2,4,13,0,3
1,1,2,13,0,3
103,2,4,8,0,2
3,2,4,8,0,1
61,1,4,6,0,2
1,2,4,2,0,1
81,2,4,2,0,1
89,2,4,8,0,2
1,2,4,2,0,1
94,2,4,15,0,8
1,1,2,2,0,1
1,2,4,2,0,1
5,2,4,15,0,3
119,2,4,15,0,3
85,2,4,8,0,2
6,2,4,6,0,1
7,2,4,4,0,1
223,3,4,2,0,4
125,5,5,2,0,2
53,2,4,2,0,1
125,1,4,2,0,1
312,2,4,15,0,3
430,5,4,2,0,3
33,3,4,2,0,1
10,2,4,3,0,4
239,2,4,8,0,1
1264,2,4,8,1,6
9,2,4,2,0,1
5,2,4,6,0,3
715,3,4,6,0,5
18,2,4,15,0,2
74,2,4,6,0,3
55,2,4,8,0,1
208,2,4,8,0,4
50,2,4,6,0,1
14,3,4,6,0,1
29,1,4,2,0,1
119,2,4,2,0,1
4,2,4,2,0,1
2,2,4,4,0,1
61,2,4,6,0,3
372,2,5,4,0,1
55,2,4,13,0,1
16,2,4,2,0,1
81,2,4,2,0,2
103,2,4,8,0,1
119,2,4,13,0,2
89,2,4,13,0,1
131,2,4,8,0,1
50,2,4,13,0,1
9,2,4,3,0,2
58,2,4,3,0,1
2,2,4,3,0,1
149,2,2,2,0,3
30,2,4,2,0,1
53,2,4,13,0,1
58,2,3,13,0,3
98,4,4,2,0,3
81,2,4,2,0,2
165,2,3,8,0,3
208,3,4,2,0,4
142,2,3,8,0,2
430,2,4,8,0,3
81,2,4,4,0,2
67,2,4,4,0,1
430,2,2,6,0,4
108,2,4,4,0,2
74,2,4,13,0,1
267,2,4,6,0,4
165,2,4,8,0,1
1,2,4,4,0,4
29,2,4,3,0,1
81,2,4,13,0,1
7,2,4,8,0,1
40,2,4,13,0,1
7,2,4,6,0,4
3,2,4,2,0,3
77,2,4,2,0,2
5,2,4,8,0,2
165,2,4,4,1,1
81,2,4,3,0,4
715,2,7,6,0,3
165,2,4,8,0,1
149,2,4,8,0,4
55,2,4,6,0,2
1,1,2,16,0,3
197,2,4,8,0,2
58,1,2,6,0,2
6,1,4,6,0,3
55,2,4,3,0,3
430,1,4,14,0,3
43,2,4,2,0,1
77,2,2,3,0,3
48,2,2,3,0,3
15,2,6,13,0,1
98,2,4,6,0,1
85,3,4,13,0,3
23,2,4,5,0,1
98,1,4,6,0,3
43,2,4,8,0,1
5,1,2,3,0,2
3,2,4,3,0,2
14,2,4,3,0,1
77,2,4,6,0,3
6,4,4,2,0,2
5,2,3,6,0,3
131,2,4,2,0,1
197,2,4,15,0,3
15,2,4,15,0,1
26,2,4,3,0,1
74,3,5,8,0,1
81,2,4,3,0,1
85,2,3,13,0,2
10,1,4,8,0,2
286,1,2,2,1,4
1,2,4,6,0,2
81,3,4,8,0,1
125,3,4,13,0,2
338,1,4,15,0,3
74,2,4,2,0,3
251,1,4,2,0,1
70,1,4,2,0,2
58,3,4,2,0,1
2,2,4,1,0,1
30,1,3,15,0,1
42,2,4,6,0,4
286,1,2,3,0,4
74,2,4,2,0,1
74,2,4,2,0,1
74,2,4,3,0,7
33,1,4,6,0,1
4,1,4,3,0,1
98,2,4,3,0,3
2,2,4,2,0,3
74,2,4,8,0,4
6,2,4,8,0,1
42,2,4,8,0,3
67,2,4,3,0,5
715,1,3,6,0,1
48,2,4,8,0,1
1,2,4,8,0,1
50,2,4,8,0,1
27,2,4,8,0,1
74,2,4,8,0,1
18,2,4,6,0,2
36,2,4,2,0,1
61,2,5,8,0,1
223,2,4,13,0,3
125,4,7,8,0,2
67,2,2,13,0,3
493,3,4,8,0,4
53,2,4,1,0,4
61,2,4,8,0,2
119,1,4,8,0,4
55,2,4,13,0,3
197,2,4,3,0,3
208,3,7,8,0,1
9,2,4,6,0,2
70,2,4,8,0,3
1,2,4,8,0,4
2,2,4,3,0,4
113,2,4,15,0,1
14,2,3,3,0,4
2,2,3,3,0,4
77,2,4,8,0,1
149,2,4,4,0,5
108,2,4,6,0,1
493,5,4,6,1,11
48,1,2,2,0,2
43,2,4,15,0,1
74,2,4,15,0,2
7,1,2,8,0,1
430,2,4,15,0,2
1,1,3,15,0,3
74,2,4,15,0,4
1,1,4,15,0,1
29,2,4,3,0,1
142,1,2,15,0,3
50,2,3,15,0,1
81,2,4,3,0,2
3,2,3,15,0,1
16,2,4,2,0,2
38,2,4,8,0,1
2,2,4,3,0,2
16,2,4,2,0,2
3,2,4,2,0,2
70,2,4,8,0,1
64,2,4,8,0,1
36,2,4,13,0,1
580,2,4,8,1,3
77,2,4,8,0,1
40,2,4,8,0,1
286,3,4,6,0,5
64,2,4,8,0,1
338,3,4,15,0,3
64,2,4,8,0,1
493,4,4,8,0,5
74,2,4,6,0,2
149,2,4,6,0,2
70,2,4,6,0,2
239,2,4,13,0,3
27,2,3,15,0,1
70,1,4,15,0,2
55,2,4,6,0,1
50,2,3,6,0,2
55,2,4,8,0,2
36,1,2,3,0,2
338,3,7,6,0,2
338,2,7,6,0,3
48,2,3,4,0,1
986,2,7,6,0,10
46,2,4,15,0,1
14,2,4,8,0,1
131,2,4,6,0,1
14,2,3,2,0,2
986,2,3,8,0,1
43,2,4,13,0,1
89,2,4,6,0,6
58,2,4,13,0,1
46,2,4,2,0,1
493,1,4,6,1,3
21,1,4,8,0,1
67,4,5,8,0,3
48,2,4,6,0,2
580,2,2,6,0,3
58,2,4,6,0,2
208,2,4,8,0,1
239,3,4,2,0,4
36,2,4,15,0,2
14,3,4,2,0,2
186,1,3,4,0,4
89,3,4,2,0,2
48,3,4,3,0,2
48,3,4,3,0,2
7,2,4,6,0,1
178,1,2,2,0,2
862,3,2,6,0,1
1958,1,2,3,0,1
21,1,4,1,0,5
267,2,4,2,0,2
43,2,4,2,0,1
9,2,3,3,0,1
372,2,7,8,0,2
715,2,4,8,0,1
22,4,4,15,0,2
715,2,4,8,0,2
715,2,4,8,0,1
286,2,4,7,0,2
70,1,3,15,0,1
3,2,4,3,0,4
11,1,2,3,0,6
48,2,4,3,0,5
61,1,4,3,0,5
208,2,4,3,0,1
208,3,4,12,0,2
108,2,4,3,0,4
40,1,4,15,0,1
580,2,4,6,0,2
208,2,4,2,0,2
15,2,4,15,0,3
580,4,7,6,0,3
715,2,4,1,0,4
986,2,4,6,0,2
13,2,4,8,0,1
55,2,4,3,0,1
580,2,4,6,1,5
64,4,5,8,0,1
74,2,4,8,0,2
223,2,4,3,0,4
580,1,3,6,0,1
157,3,4,4,0,3
38,2,4,13,0,1
58,2,4,2,0,1
50,2,4,13,0,1
1,3,4,8,0,1
36,2,4,13,0,1
4,2,4,13,0,1
862,2,4,13,2,6
223,2,4,8,0,3
33,2,4,8,0,3
33,2,4,13,0,1
986,2,4,15,0,4
19,2,4,6,0,2
33,2,4,3,0,1
580,3,7,8,0,2
13,2,4,1,0,3
186,2,4,6,0,6
13,1,3,3,0,1
108,2,4,8,0,1
113,1,4,2,0,4
30,2,3,8,0,4
26,2,4,15,0,4
30,2,4,15,0,5
186,2,4,6,0,5
61,2,4,3,0,2
29,2,4,4,0,1
5,3,4,13,0,1
43,2,4,13,0,1
580,3,4,8,0,1
26,3,5,13,0,1
157,2,3,2,0,6
2,4,3,13,0,2
3,2,4,2,0,3
11,1,4,15,0,4
3,2,4,2,0,3
3,2,4,2,0,3
50,2,3,1,0,1
12,2,4,2,0,2
23,2,4,15,0,1
55,2,4,4,0,2
267,3,4,2,0,3
20,4,3,15,0,2
149,1,4,2,0,4
103,2,4,2,0,2
11,2,4,2,0,2
53,2,4,13,0,1
862,3,4,6,2,37
46,1,3,15,0,1
74,2,4,3,0,4
580,2,4,2,0,3
12,3,5,15,0,1
10,2,4,8,0,1
40,4,3,6,0,3
12,2,3,2,0,2
21,2,4,15,0,1
2,2,4,9,0,2
15,2,3,2,0,1
36,1,4,6,0,3
38,1,4,2,0,3
2,2,4,15,0,1
2,1,4,15,0,2
46,3,4,8,0,5
40,5,3,8,0,2
1958,2,3,4,0,3
338,1,2,2,0,6
