T,P,S,O,D,A
580,3,6,6,0,3
89,3,3,7,0,1
986,1,4,1,0,1
131,3,5,6,0,1
137,3,6,4,0,1
267,3,3,8,0,1
85,3,3,3,0,1
186,3,5,1,0,1
186,3,4,3,0,1
119,3,5,3,0,1
113,3,2,1,0,1
372,3,3,2,0,4
286,3,4,8,0,1
312,3,4,3,0,1
197,3,4,8,0,1
208,3,4,1,0,1
98,3,3,8,0,1
186,3,4,2,0,3
125,3,4,2,0,1
986,5,6,4,0,1
430,2,4,8,0,3
77,3,6,8,0,1
77,3,6,8,0,1
986,3,7,4,0,1
986,5,7,8,0,1
986,3,6,13,0,2
1958,3,4,6,0,1
986,3,7,8,0,1
186,3,3,6,0,1
74,3,6,4,0,1
119,3,2,4,0,1
125,3,3,2,0,1
74,3,2,4,0,1
372,3,7,2,0,5
338,3,4,2,0,1
178,3,3,10,0,3
862,2,4,3,0,8
85,3,4,3,0,5
197,3,4,3,0,1
98,3,4,3,0,1
77,3,4,3,0,3
131,3,3,3,0,5
178,3,4,3,0,1
77,3,2,2,0,2
61,3,3,6,0,2
64,3,3,2,0,1
312,1,6,6,0,4
94,3,3,3,0,3
986,3,4,6,0,1
338,3,3,3,0,1
986,3,4,6,0,1
986,3,4,6,0,1
186,5,4,6,0,1
157,3,6,6,0,1
862,3,3,6,0,5
85,3,3,3,0,1
862,3,4,1,0,1
74,3,2,3,0,1
77,3,6,3,0,1
223,3,3,2,0,1
55,3,4,2,0,1
580,3,4,6,0,2
178,3,5,2,0,1
267,2,4,6,0,1
50,3,3,6,0,1
77,3,6,2,0,1
1958,3,4,6,0,6
186,3,6,2,0,1
74,3,3,8,0,1
312,3,2,2,0,1
46,3,4,3,0,2
223,3,3,6,0,3
40,3,3,3,0,2
267,3,3,3,0,2
157,3,6,3,0,1
27,3,5,3,0,1
67,3,3,6,0,1
862,3,4,3,0,1
67,3,6,3,0,1
64,3,6,2,0,1
36,3,3,8,0,1
197,3,3,6,0,4
1958,3,3,3,0,1
862,3,4,2,0,1
98,3,3,3,0,1
27,3,4,13,0,1
27,3,4,2,0,1
53,3,3,13,0,1
53,3,2,3,0,1
137,3,2,3,0,2
137,3,4,13,0,1
1958,3,7,3,0,2
67,3,4,13,0,1
338,3,5,7,0,5
42,2,3,10,0,2
131,2,4,10,0,1
26,2,4,10,0,1
5,2,4,8,0,1
5,2,4,6,0,1
1,4,7,3,0,2
986,3,7,3,0,4
1,1,3,3,0,3
715,4,7,6,0,2
208,2,7,3,0,1
22,2,4,3,0,1
10,2,4,3,0,1
55,2,4,3,0,3
1958,2,4,8,0,1
149,2,4,7,0,2
58,2,4,8,0,2
14,2,3,3,0,1
125,2,4,8,0,1
338,2,4,8,0,3
862,2,4,8,0,2
1264,2,4,8,0,1
862,2,4,8,0,1
862,2,4,8,0,2
251,1,4,2,0,1
862,2,3,8,0,1
862,2,4,8,0,2
862,2,3,8,0,1
251,2,4,8,0,2
862,2,4,2,0,2
58,2,4,2,0,1
338,2,4,2,0,1
862,2,4,8,0,2
862,2,2,2,0,1
67,2,4,8,0,2
38,2,4,8,0,2
862,2,4,8,0,3
580,2,4,8,0,2
94,2,4,8,0,2
239,2,4,8,0,3
267,5,7,8,0,2
43,2,4,8,0,1
580,3,5,8,0,4
46,2,4,8,0,1
338,2,4,8,0,4
81,2,4,8,0,2
208,2,4,8,0,2
137,2,4,8,0,2
81,2,4,8,0,2
580,1,4,6,0,11
55,2,4,8,0,1
55,3,5,8,0,2
165,3,5,8,0,1
46,2,2,2,0,2
862,2,4,2,0,3
862,2,2,2,0,2
64,2,4,2,0,2
862,2,2,2,0,2
239,2,4,3,0,3
862,2,4,8,0,2
1264,2,4,8,0,3
113,2,4,8,0,1
165,2,4,8,0,2
108,2,4,2,0,3
862,2,4,8,0,2
862,1,4,2,0,1
580,2,4,2,0,2
94,2,4,2,0,1
186,2,4,2,0,1
58,2,4,2,0,1
862,2,4,2,0,2
862,1,4,2,0,2
239,2,4,2,0,1
239,2,4,2,0,1
30,1,4,2,0,1
862,1,4,2,0,2
239,2,4,2,0,1
197,1,4,2,0,2
239,2,4,2,0,1
862,2,4,2,0,2
862,1,3,2,0,1
862,1,3,2,0,1
36,2,4,2,0,1
862,2,4,2,0,1
862,2,2,2,0,1
372,2,4,2,0,1
1264,2,5,6,0,2
29,2,4,2,0,1
85,2,3,2,0,1
85,2,3,2,0,1
862,2,3,2,0,1
85,2,3,2,0,1
239,2,4,2,0,1
239,2,4,2,0,2
208,2,4,2,0,2
85,2,3,2,0,1
108,3,4,2,0,2
103,3,4,2,0,2
85,2,3,2,0,1
103,2,4,8,0,2
862,2,4,8,0,5
197,1,3,8,0,6
55,2,4,8,0,2
98,2,3,2,0,1
26,1,4,2,0,2
108,1,3,2,0,1
55,1,3,2,0,1
108,2,3,2,0,1
372,2,3,2,0,1
46,2,4,2,0,1
338,2,4,2,0,6
580,3,5,3,0,1
862,2,3,2,0,2
48,2,4,2,0,1
862,2,3,2,0,2
239,2,4,2,0,1
312,2,3,8,0,2
108,2,4,4,0,2
53,2,4,2,0,2
286,1,4,6,0,3
98,2,4,8,0,3
46,2,4,2,0,3
239,2,4,2,0,1
862,2,4,2,0,1
113,2,3,2,0,1
862,2,2,2,0,1
48,2,4,8,0,2
43,2,4,2,0,1
85,2,3,2,0,1
29,2,3,2,0,1
67,1,4,2,0,1
286,2,4,2,0,2
862,2,2,2,0,2
1264,3,4,6,0,31
186,3,4,2,0,2
862,1,2,2,0,1
18,1,3,2,0,1
862,2,4,2,0,1
89,2,3,2,0,3
862,2,4,2,0,1
55,2,4,2,0,2
20,1,2,2,0,2
239,2,2,6,0,2
18,2,4,2,0,2
53,1,2,2,0,3
81,2,4,2,0,2
81,1,2,2,0,5
30,2,4,8,0,3
197,2,3,8,0,3
157,3,4,15,0,1
26,2,4,2,0,4
81,2,4,2,0,1
29,2,4,2,0,1
715,2,4,2,0,1
30,2,4,2,0,1
53,2,4,2,0,1
108,3,4,8,0,3
30,2,4,2,0,1
7,3,4,2,0,2
125,2,4,6,0,1
13,3,2,2,0,1
36,2,4,2,0,1
36,2,4,8,0,1
113,2,4,3,0,1
103,2,4,2,0,1
267,1,4,2,0,2
715,3,4,8,0,4
267,2,4,2,0,2
312,1,4,2,0,1
372,2,4,2,0,3
251,1,3,8,0,4
251,2,4,8,0,3
267,2,4,2,0,4
239,1,4,2,0,2
197,1,4,2,0,2
30,2,4,8,0,1
165,2,4,2,0,1
103,2,4,2,0,1
186,2,4,8,0,2
208,3,4,8,0,3
1264,2,5,3,0,1
25,2,4,8,0,1
113,5,5,3,0,1
85,2,4,8,0,1
98,2,6,8,0,1
89,1,4,7,0,2
12,5,2,10,0,1
3,1,2,16,0,1
715,2,4,8,0,3
98,2,3,4,0,1
1,2,4,4,0,1
98,2,2,10,0,4
6,2,3,10,0,2
8,2,3,10,0,2
338,1,3,8,0,3
25,2,3,10,0,1
2,2,4,2,0,1
27,2,4,2,0,1
493,3,4,2,0,2
3,2,4,2,0,1
42,2,4,2,0,1
142,2,4,2,0,2
208,2,4,2,0,3
98,2,4,3,0,3
98,2,4,2,0,1
98,2,2,2,0,1
157,3,4,2,0,4
55,2,4,2,0,2
98,2,4,2,0,1
98,2,4,2,0,1
98,2,4,2,0,1
98,2,4,2,0,1
38,2,6,2,0,1
131,2,6,2,0,1
131,2,3,2,0,1
89,2,5,2,0,1
113,2,3,2,0,1
131,2,5,2,0,1
149,2,4,1,0,1
2,2,4,4,0,1
239,4,4,2,0,1
186,2,3,3,0,1
98,2,4,2,0,2
98,2,5,3,0,2
125,3,5,4,0,1
142,4,5,4,0,3
157,2,4,8,0,1
27,2,4,2,0,1
94,2,6,3,0,1
94,1,3,8,0,1
26,2,4,3,0,2
251,3,4,2,0,1
131,2,4,8,0,1
25,2,4,2,0,1
70,3,5,8,0,3
94,2,4,3,0,1
94,2,4,3,0,2
94,2,4,3,0,1
74,2,4,8,0,2
27,2,4,4,0,1
197,5,7,4,0,4
94,2,4,2,0,1
23,2,4,2,0,1
715,2,4,6,0,10
94,2,4,3,0,1
94,2,4,3,0,2
9,2,4,3,0,3
26,2,7,8,0,1
94,2,4,2,0,2
372,3,4,2,0,4
178,1,3,8,0,1
70,2,4,2,0,1
580,1,4,6,3,12
3,1,4,8,0,1
33,1,4,8,0,1
67,2,4,8,0,2
3,2,4,8,0,1
67,2,4,8,0,1
19,2,4,8,0,1
19,2,4,8,0,1
33,1,4,8,0,1
67,1,3,2,0,6
186,2,4,2,0,2
15,2,4,4,0,1
142,2,3,4,0,1
53,1,7,2,0,1
94,2,4,8,0,1
2,1,2,2,0,1
157,2,4,2,0,1
21,2,4,2,0,2
580,2,5,4,0,2
1264,2,4,2,0,1
1,2,6,16,0,1
430,3,4,2,0,1
9,1,4,2,0,1
338,2,4,2,0,2
2,2,2,3,0,1
208,2,4,2,0,2
1958,2,4,4,0,1
13,2,4,2,0,1
267,2,3,8,0,1
125,2,7,2,0,1
103,2,3,3,0,1
178,2,2,10,0,2
7,2,4,2,0,1
3,3,4,1,0,2
108,2,4,16,0,1
77,2,4,16,0,1
38,2,4,2,0,1
9,2,4,8,0,2
108,2,5,2,0,1
14,5,4,2,0,1
103,2,4,3,0,1
46,1,4,4,0,2
149,2,4,2,0,1
81,2,7,4,0,3
25,2,4,8,0,1
61,2,4,3,0,2
1958,2,4,3,0,2
430,4,5,2,0,5
119,2,4,8,0,2
14,2,4,2,0,1
493,2,7,4,1,12
14,2,3,2,0,1
29,2,4,8,0,1
3,2,4,2,0,2
286,2,3,2,0,1
149,2,4,2,0,1
113,2,4,8,0,1
338,2,4,8,0,2
197,2,4,8,0,1
3,2,4,8,0,3
10,2,4,8,0,1
3,1,2,3,0,1
98,2,4,8,0,1
2,1,3,4,0,1
165,4,6,4,0,2
8,1,3,4,0,1
20,5,6,2,0,1
239,2,4,4,0,2
33,2,4,2,0,1
286,2,4,16,0,4
85,2,4,3,0,1
1,1,4,2,0,1
186,1,3,3,0,2
81,2,4,3,0,4
5,2,4,3,0,2
12,2,4,3,0,1
12,2,4,3,0,1
372,2,4,6,0,1
208,2,4,2,0,3
7,2,4,3,0,2
94,2,4,4,0,1
580,4,7,2,0,3
1264,2,4,8,0,2
74,2,4,8,0,2
61,5,6,8,0,1
103,4,5,8,0,2
119,2,4,8,0,2
48,5,6,8,0,2
18,1,4,2,0,1
11,2,3,1,0,2
11,2,4,2,0,1
580,2,3,15,1,5
493,2,4,2,0,2
6,2,4,2,0,1
77,2,3,2,0,2
19,2,4,2,0,2
165,4,5,2,0,2
1264,1,2,2,0,4
3,2,5,1,0,1
77,2,4,2,0,1
103,2,3,1,0,1
286,2,4,8,0,2
14,2,4,8,0,1
4,2,4,3,0,1
2,2,4,2,0,1
12,2,4,2,0,1
137,1,3,2,0,1
580,1,2,3,0,2
70,2,4,2,0,1
251,1,4,2,1,3
2,2,4,2,0,1
70,2,2,2,0,2
29,2,4,2,0,2
3,1,2,3,0,1
29,2,4,8,0,1
48,2,4,2,0,2
29,2,4,8,0,1
6,1,2,3,0,1
3,2,3,3,0,1
986,2,4,8,0,1
55,2,3,2,0,2
55,1,3,2,0,2
74,2,4,16,0,1
165,3,4,2,0,3
14,1,4,3,0,3
89,4,4,2,0,1
23,1,4,3,0,4
21,2,4,8,0,2
3,2,4,8,0,1
3,2,4,8,0,1
26,2,4,2,0,2
137,3,4,2,0,2
89,3,4,2,0,2
12,1,4,3,0,6
312,5,4,2,0,3
98,2,4,3,0,1
19,2,4,8,0,2
1264,1,1,6,3,35
223,2,4,8,0,4
372,1,4,8,0,3
580,4,4,8,0,4
8,2,5,2,0,2
8,2,4,2,0,1
338,2,4,8,0,3
5,2,4,8,0,1
165,2,4,8,0,5
2,2,4,2,0,1
8,2,4,2,0,2
12,2,4,2,0,1
7,2,4,2,0,1
12,2,4,2,0,1
430,2,4,2,0,2
430,2,4,2,0,3
7,2,4,2,0,1
7,2,4,2,0,1
7,2,4,2,0,1
7,2,4,2,0,1
7,2,4,2,0,1
493,3,4,2,0,2
6,2,4,2,0,1
12,2,4,2,0,2
70,2,4,2,0,1
30,2,4,2,0,1
53,2,4,2,0,1
15,2,4,2,0,1
986,3,4,2,0,7
165,2,4,8,0,3
7,2,4,8,0,1
338,2,4,8,0,5
20,2,4,8,0,3
157,2,4,8,0,2
89,2,3,1,0,1
1958,1,2,3,2,4
23,4,4,8,0,1
312,2,4,8,0,3
4,4,5,3,0,3
94,2,4,8,0,1
862,3,7,6,0,18
25,2,4,2,0,1
5,2,4,2,0,2
16,2,4,2,0,2
4,2,4,2,0,1
3,1,3,2,0,1
94,2,4,3,0,1
50,2,4,2,0,1
108,2,3,8,0,1
50,1,4,8,0,1
7,1,4,3,0,1
186,2,4,6,0,4
113,2,4,2,0,1
25,2,4,2,0,1
9,2,2,2,0,1
1,4,5,2,0,1
715,1,4,6,2,10
1,2,4,2,0,3
2,2,2,2,0,2
61,2,4,2,0,1
149,4,3,11,0,1
89,1,2,3,0,1
67,3,4,8,0,2
493,2,4,8,0,2
64,2,4,3,0,1
27,1,4,3,0,1
89,2,4,3,0,1
81,2,4,2,0,1
186,2,4,2,0,2
178,2,4,2,0,1
94,2,4,4,0,1
137,2,4,4,0,1
61,2,7,4,0,1
493,2,4,4,0,4
493,2,3,13,0,7
43,2,4,4,0,1
42,1,4,4,0,1
19,2,4,4,0,1
58,2,4,4,0,1
338,2,4,4,0,4
3,2,4,4,0,1
715,2,4,4,0,6
58,2,4,4,0,2
186,2,4,4,0,1
372,4,4,4,0,2
58,2,4,2,0,1
46,2,4,4,0,1
338,2,4,4,0,4
178,2,4,4,0,1
64,2,4,4,0,1
715,2,7,6,0,5
46,2,4,4,0,1
74,2,4,8,0,2
58,2,4,2,0,1
186,2,4,2,0,1
239,2,4,2,0,1
312,2,4,2,0,2
46,2,4,2,0,1
46,1,3,3,0,7
312,2,4,2,0,3
16,2,4,2,0,1
338,2,4,2,0,1
493,2,2,8,0,4
48,2,4,2,0,1
1,2,3,3,0,2
18,2,4,2,0,1
178,4,5,2,0,1
142,2,6,2,0,2
312,3,4,2,0,2
1,2,4,2,0,2
165,2,3,2,0,3
2,2,4,1,0,1
1,2,4,1,0,1
61,2,4,1,0,1
223,2,4,2,0,2
142,2,4,2,0,1
312,2,4,2,0,5
223,2,4,2,0,3
137,2,4,2,0,2
862,2,4,2,0,3
77,2,4,2,0,1
85,2,4,3,0,1
267,2,4,2,0,2
251,2,4,2,0,2
98,2,4,8,0,1
21,1,3,2,0,1
137,2,3,4,0,1
580,3,7,6,0,1
98,2,4,2,0,1
1264,0,7,1,1,2
142,2,4,2,0,1
580,2,5,6,0,3
81,3,4,1,0,1
580,2,6,1,0,2
21,2,4,2,0,2
14,1,3,2,0,1
251,2,4,2,0,2
21,2,4,2,0,2
40,2,4,2,0,1
178,2,4,3,0,2
142,2,4,7,0,1
1,2,4,7,0,1
81,1,2,3,0,1
986,2,4,8,0,5
11,2,4,2,0,1
103,2,4,8,0,1
40,2,4,8,0,1
30,2,4,8,0,1
30,2,4,8,0,1
77,2,4,8,0,3
33,2,4,8,0,1
2,2,4,8,0,1
6,2,4,8,0,1
2,2,4,8,0,1
2,2,4,8,0,1
338,2,4,8,1,2
20,2,4,8,0,1
186,2,4,8,0,3
580,4,4,6,0,7
20,2,4,8,0,1
36,2,4,8,0,3
103,2,7,4,0,1
178,2,4,8,0,2
36,2,4,3,0,2
157,2,4,8,0,3
165,2,4,3,0,4
165,1,3,2,0,2
11,2,3,3,0,1
986,2,4,7,0,1
986,2,4,7,0,1
165,4,5,2,0,1
20,2,4,2,0,2
10,2,4,3,0,3
9,2,4,2,0,1
137,2,4,2,0,1
21,2,3,2,0,1
21,3,5,2,0,1
186,2,2,2,0,4
338,1,4,6,0,3
55,2,4,2,0,1
149,2,4,8,0,1
715,2,4,2,0,5
312,3,4,2,1,3
16,2,4,2,0,1
22,2,4,2,0,1
1,2,3,2,0,1
33,2,4,2,0,2
10,2,4,2,0,2
58,2,4,3,0,2
208,1,3,2,0,2
5,2,4,2,0,1
5,2,4,2,0,1
53,2,4,2,0,1
103,2,4,2,0,4
58,2,4,2,0,1
223,2,3,8,0,3
312,2,4,6,0,1
3,2,4,2,0,2
12,2,4,2,0,2
70,2,4,8,0,2
986,2,3,3,0,1
131,3,4,16,0,1
1,1,2,2,0,1
103,1,4,2,0,2
70,4,4,2,0,1
137,2,4,2,0,1
9,2,4,2,0,1
35,2,6,8,0,1
5,2,4,8,0,1
3,2,4,2,0,1
5,2,4,2,0,1
46,2,4,2,0,2
430,2,3,6,0,3
286,2,3,8,0,3
27,2,4,2,0,3
20,1,3,2,0,1
16,1,3,2,0,2
137,2,3,2,0,2
715,2,4,2,0,1
2,2,4,2,0,1
1,2,4,2,0,1
149,2,4,8,0,1
13,2,4,2,0,1
89,2,4,1,0,1
11,2,4,1,0,1
157,2,4,1,0,1
94,2,4,1,0,1
48,2,4,1,0,1
4,2,4,1,0,1
89,2,4,2,0,1
157,2,4,8,1,1
5,2,2,8,0,1
10,2,4,2,0,2
12,1,3,2,0,1
22,1,3,2,0,1
70,2,4,4,0,3
197,1,2,4,0,9
178,2,4,2,0,2
43,2,4,2,0,2
8,2,5,4,0,1
178,2,4,4,0,3
70,2,4,1,0,1
70,2,4,2,0,1
20,2,4,2,0,2
312,2,4,2,1,5
142,2,4,2,0,3
178,5,7,2,0,1
40,2,4,8,0,1
23,2,3,8,0,1
208,2,4,2,0,3
22,2,2,2,0,3
239,2,4,2,0,2
208,3,4,8,0,2
64,2,6,2,0,1
10,2,4,2,0,2
1264,3,4,2,0,1
493,2,4,2,0,9
18,1,2,2,0,1
10,2,4,2,0,1
36,2,4,2,0,1
18,1,2,2,0,1
208,1,3,2,0,5
22,2,4,2,0,1
251,2,3,2,0,3
14,2,4,2,0,1
11,1,2,2,0,1
26,1,3,2,0,2
197,2,4,2,0,1
70,3,4,2,0,1
372,2,4,2,0,4
35,3,5,2,0,1
125,2,4,4,0,1
36,2,4,8,0,1
178,2,4,4,0,2
15,2,4,4,0,2
13,1,4,2,0,2
197,1,2,2,0,2
103,2,4,3,0,2
2,1,3,2,0,2
89,3,4,2,0,2
137,2,4,2,0,1
286,2,4,2,0,3
986,1,4,2,0,2
85,2,4,4,0,1
142,2,2,4,0,1
85,2,4,4,0,1
149,4,5,2,0,3
131,2,4,4,0,2
142,2,4,4,0,1
178,2,4,4,0,1
223,4,5,4,0,6
10,2,4,4,0,1
89,2,4,4,0,1
25,2,4,8,0,1
312,2,4,6,0,3
149,2,4,2,0,1
8,2,4,2,0,1
125,3,4,2,0,2
267,2,4,2,0,1
18,2,4,8,0,2
13,2,4,8,0,1
312,2,4,4,0,1
18,2,4,3,0,2
119,2,3,16,0,1
125,2,4,4,0,1
125,2,2,17,0,3
81,2,4,4,0,1
38,3,5,4,0,1
267,2,6,8,0,2
223,2,1,8,0,3
1,2,6,8,0,2
58,2,5,8,0,1
157,2,4,8,0,2
13,1,3,8,0,6
208,2,6,8,0,3
2,2,4,4,0,1
12,2,4,8,0,1
493,2,4,8,0,13
2,2,5,2,0,1
58,2,3,1,0,1
23,2,4,2,0,1
7,2,4,8,0,1
125,2,3,1,0,3
33,2,4,8,0,4
142,2,4,2,0,1
11,1,2,2,0,4
125,2,4,2,0,2
13,2,4,2,0,1
186,2,4,2,0,2
186,1,2,2,0,3
8,2,3,2,0,2
25,2,4,2,0,1
1958,1,3,2,0,1
1958,5,4,1,0,1
1,4,4,2,0,1
23,2,4,3,0,1
239,4,5,1,0,1
25,2,7,1,0,1
8,2,3,1,0,1
251,1,3,1,0,1
131,2,4,2,0,1
1,3,2,2,0,1
55,1,4,10,0,1
137,2,3,2,0,1
10,2,4,2,0,1
77,3,5,2,0,1
131,2,4,4,0,2
22,2,4,4,0,2
13,2,2,2,0,5
149,2,4,2,0,2
9,1,3,2,0,2
208,3,4,13,0,5
1264,1,2,4,0,2
119,2,4,4,0,1
8,2,4,4,0,4
239,2,4,4,0,3
77,2,4,8,0,1
